YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1966  999.9  999.9  999.9  999.9  999.9  999.9   27.9   28.1   27.5   26.8   26.9   26.5   999.9   999.9    28.1    27.1  999.90
1967   26.1   26.2   26.0   26.8   27.6   27.2   27.4   27.7   27.2   27.0   27.0   26.7    26.3    26.8    27.4    27.1   26.89
1968   25.6   26.4   26.4   26.9   27.4   27.2   27.7   27.9   27.7   26.7   27.3   26.9    26.2    26.9    27.6    27.2   26.99
1969   26.4   26.3   27.6   27.8   29.1   28.4   28.5   27.3   27.7   26.5   26.9   27.7    26.5    28.2    28.1    27.0   27.45
1970   27.0   26.8   27.0   27.4   27.5   28.4   27.6   27.3   26.8   26.9   26.6   26.9    27.2    27.3    27.8    26.8   27.25
1971   26.2   26.1   26.3   27.1  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9    26.4    26.9   999.9   999.9  999.90
1972  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1973  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1974  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1975  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   26.5   26.0   999.9   999.9   999.9   999.9  999.90
1976   25.7   25.9   25.9   27.0   27.8   27.5   27.8   28.1   28.0   27.1   27.8   26.9    25.9    26.9    27.8    27.6   27.05
1977   26.5   26.5   26.4   27.1   27.7   27.8   27.7   27.9   27.8   27.9   27.9   27.3    26.6    27.1    27.8    27.9   27.34
1978   26.5   27.1   27.3   27.9   27.8   27.9   27.9   28.2   27.1   27.1   27.8   26.7    27.0    27.7    28.0    27.3   27.49
1979   26.4   27.2   27.5   27.4   28.3   27.9   28.2   27.7   27.3   28.0   27.7   27.3    26.8    27.7    27.9    27.7   27.53
1980   27.3   26.9   26.5   27.8   28.7   28.4   28.2   27.9   28.3   27.3   27.3   27.1    27.2    27.7    28.2    27.6   27.66
1981   27.3   27.2   27.8   27.3   27.5   27.7   28.1   27.4   27.4   27.0   27.5   27.4    27.2    27.5    27.7    27.3   27.44
1982   26.6   26.8   26.5   27.2   27.9   27.9   27.7   28.4   28.1   26.9   27.5   26.9    26.9    27.2    28.0    27.5   27.41
1983   27.0   26.9   28.1   28.0   28.8   28.9   28.5   28.5   28.3   27.2   27.8   27.1    26.9    28.3    28.6    27.8   27.91
1984   26.7   27.0   27.0   27.4   27.9   28.0   27.1   27.3   26.8   26.9   26.4   26.2    26.9    27.4    27.5    26.7   27.13
1985   25.5   26.3   26.4   26.9   27.9   27.9   28.0   27.6   27.3   26.8   27.1   26.0    26.0    27.1    27.8    27.1   26.99
1986   26.1   26.2   27.1   27.6   28.1   27.9   28.2   28.2   27.9   27.1   27.5   26.6    26.1    27.6    28.1    27.5   27.33
1987   26.6   27.3   28.0   28.6   28.1   29.1   27.9   28.6   28.1   27.0   28.2   27.6    26.8    28.2    28.5    27.8   27.84
1988   26.2   26.8   27.1   28.0   28.5   27.8   27.9   26.9   27.1   27.0   27.0   26.4    26.9    27.9    27.5    27.0   27.33
1989   25.9   25.7   26.8   26.9   28.3   27.8   27.9   27.9   26.5   27.4   27.0   26.4    26.0    27.3    27.9    27.0   27.04
1990   26.4   26.1   26.5   27.6   28.5   29.0   28.7   28.4   28.5   27.0   27.7   26.7    26.3    27.5    28.7    27.7   27.57
1991   26.2   26.5   27.3   27.7   27.9   28.4   28.2   28.7   28.0   27.5   27.7   26.5    26.5    27.6    28.4    27.7   27.57
1992   26.5   27.0   27.0   27.9   28.6   28.9   28.3   27.7   28.0   27.7   27.8   27.4    26.7    27.8    28.3    27.8   27.66
1993   27.3   27.1   27.4   28.4   28.1   28.7   27.9   27.9   27.1   28.1   27.4   27.4    27.3    28.0    28.2    27.5   27.73
1994   26.4   26.3   27.2   27.5   28.1   28.3   27.8   28.2   28.2   27.3   27.2   27.1    26.7    27.6    28.1    27.6   27.49
1995   27.1   26.9   27.5   27.9   28.4   28.1   27.6   27.4   28.1   27.0   28.0   27.5    27.0    27.9    27.7    27.7   27.59
1996   27.0   27.0   27.3   27.6   27.7   27.9   27.6   28.1   27.7   27.1   26.7   26.9    27.2    27.5    27.9    27.2   27.43
1997   26.6   26.9   26.1   27.3   28.4   28.3   28.5   28.8   28.4   27.8   27.6   27.7    26.8    27.3    28.5    27.9   27.63
1998   27.3   27.9   27.6   28.5   28.7   28.2   28.0   28.6   27.6   27.3   27.2   26.8    27.6    28.3    28.3    27.4   27.88
1999   26.5   25.9   27.0   27.6   27.9   27.6   27.7   27.1   26.3   26.2   26.4   26.7    26.4    27.5    27.5    26.3   26.92
2000   26.0   26.2   26.5   27.2   27.9  999.9   27.8   28.4   27.5   27.9   27.2   26.8    26.3    27.2    28.2    27.5   27.30
2001   26.3   25.4   26.4   26.9   27.6   27.5   27.8   28.5   27.3   27.3   27.3   27.9    26.2    27.0    27.9    27.3   27.09
2002   28.0   27.6   28.4   28.3   28.8   28.4   27.7   28.5   27.6   28.3   28.4   28.1    27.8    28.5    28.2    28.1   28.16
2003   28.1   28.1   27.4   28.2   28.8   29.3   28.4   28.8   28.8  999.9   28.0   27.4    28.1    28.1    28.8    28.3   28.34
2004   26.9   27.3   27.2   27.9   28.1   28.6   27.7   28.4   27.3  999.9   27.1   27.2    27.2    27.7    28.2    27.1   27.57
2005  999.9   27.2   28.3   28.8   28.5   28.3   28.4   28.1   28.0   26.7   27.0   27.3    27.1    28.5    28.3    27.2   27.79
2006   27.4   27.2   27.4   28.1   28.6   28.3  999.9   28.1   28.2   27.8   27.4   27.6    27.3    28.0    28.2    27.8   27.82
