YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1977  999.9  999.9  999.9  999.9   21.0   21.0   21.5   21.6   21.2   21.0   20.7   21.3   999.9   999.9    21.4    21.0  999.90
1978   21.5   21.8   21.4   20.9   21.2   20.7  999.9   21.4   20.9   20.6   21.0   20.6    21.5    21.2    21.0    20.8   21.15
1979   21.1   21.4   21.5   21.7   21.2   21.0   21.3   21.3   21.0   20.9   20.5   20.7    21.0    21.5    21.2    20.8   21.13
1980   21.5   21.3   22.8   21.8   21.7   21.9   21.6   21.4   21.6   21.0   20.7   20.6    21.2    22.1    21.6    21.1   21.50
1981   20.5   21.4   21.5   21.2   21.0   21.1   21.1   21.2   21.3   20.6   20.8   21.1    20.8    21.2    21.1    20.9   21.03
1982   20.8   20.9   21.5   20.8   20.9   21.5   21.5   22.0   21.3   20.6   20.9   21.2    20.9    21.1    21.7    20.9   21.15
1983   22.1   22.4   22.4   21.9   22.0   22.1   21.7   21.7   21.4   20.8   21.2   20.6    21.9    22.1    21.8    21.1   21.74
1984  999.9   20.8   21.5   21.3   21.0   20.8   20.5   20.7   20.3   20.4   19.9   20.8    20.7    21.3    20.7    20.2   20.72
1985   20.5   21.8   21.6   21.1   21.0   21.3   21.0   20.7   20.9   20.5   20.3   20.6    21.0    21.2    21.0    20.6   20.96
1986   21.1   20.6   20.3   20.9   21.3   21.1   21.6   21.6   21.4   19.1   20.5   20.5    20.8    20.8    21.4    20.3   20.84
1987   21.5   22.5   21.3   21.0   21.7   22.0   21.6   20.7   21.5   20.6   21.3   20.8    21.5    21.3    21.4    21.1   21.35
1988   22.0   21.1   21.8   21.4   21.7   20.9   20.8   20.4   20.7   20.5   20.3   19.3    21.3    21.6    20.7    20.5   21.03
1989   20.7   21.0   19.8   21.5   21.0   20.9   21.1   21.1   20.9   20.8   21.0   20.5    20.3    20.8    21.0    20.9   20.76
1990   20.4   20.3   20.9   21.4   21.4   22.0   21.3   21.3   21.5   20.7   21.0   20.8    20.4    21.2    21.5    21.1   21.06
1991   21.9   22.1   22.2   21.6   21.6   21.9  999.9   21.6   21.6   20.8   20.6   21.6    21.6    21.8    21.7    21.0   21.54
1992   21.6  999.9   22.6   22.2   21.7   21.9   21.7   21.6   21.4   22.0   21.0   21.8    21.7    22.2    21.7    21.5   21.77
1993   21.1  999.9  999.9  999.9   21.1  999.9   20.9  999.9   21.1   21.5  999.9   21.2    21.6   999.9   999.9    21.2  999.90
1994   21.1   21.6   21.1   21.4   21.6   21.7   21.7   21.4   21.3   21.2   20.9   22.0    21.3    21.4    21.6    21.1   21.35
